947 11327
326 306 23038
814 194 23944
901 210 5453
286 867 19227
462 95 31083
98 453 26228
671 679 13939
942 109 20326
712 566 19959
23 56 11500
495 918 2602
363 834 10687
523 474 21342
295 841 15036
902 658 26311
214 314 32534
779 57 8884
269 897 22598
837 179 23496
468 800 11317
154 770 19412
516 140 11805
713 207 30303
533 727 6914
2 71 10248
679 24 7396
539 122 19771
402 66 5107
940 125 4601
632 864 26471
42 794 24473
167 113 18385
749 74 11992
707 687 2810
770 704 5003
743 468 3504
60 146 13517
431 209 25105
423 257 24455
157 5 4398
637 361 23199
815 404 27936
598 652 27442
344 36 27882
450 700 23716
923 356 23989
802 248 13166
88 750 27975
832 71 17131
788 337 16338
662 233 32161
210 318 30562
759 742 21672
442 65 23952
10 903 9799
225 600 20560
546 66 25823
849 480 14577
835 159 5818
858 84 16540
442 586 25684
738 96 14340
377 10 28223
718 318 20480
76 254 25778
770 942 24383
920 49 10836
176 800 5474
371 707 30969
863 526 13848
789 609 23097
393 811 22289
644 423 7980
467 594 12772
428 403 10684
310 11 30528
212 87 7995
831 362 17140
737 733 20296
744 16 26818
301 451 2862
493 293 24558
97 931 10544
822 70 10247
784 534 19602
104 193 11112
37 108 5688
18 612 29782
817 813 27432
585 245 4042
381 303 21860
520 628 17740
351 172 30924
545 909 28005
470 164 30981
296 715 14484
595 366 20131
212 248 14030
934 195 14592
513 213 29671
621 649 1927
215 914 6016
439 941 12384
676 303 14151
670 522 25527
578 141 177
474 367 21022
583 504 7031
256 656 442
545 945 14452
818 206 8495
53 667 14525
317 409 6291
668 457 18191
293 664 30670
411 775 12763
524 169 7979
351 197 24222
792 50 27147
565 480 24394
254 151 3322
435 472 6376
755 498 3988
721 499 5817
570 829 8184
611 812 10113
345 189 16578
571 213 19141
201 440 21443
501 37 21024
500 706 4839
579 272 32505
470 4 30224
420 78 24385
324 445 8149
435 893 19464
420 356 1111
75 700 17150
946 54 25777
852 129 28744
132 488 16057
475 258 12330
34 714 17401
834 624 10354
455 598 7220
496 394 26543
41 361 30419
801 693 19608
324 77 3082
789 659 25129
765 101 31128
75 592 28006
152 402 12398
739 286 12227
41 391 16289
456 208 28060
301 559 32368
444 304 10832
412 137 14927
595 480 21451
152 812 28458
430 84 21932
166 466 32608
87 99 20559
382 354 11819
454 87 2645
637 750 6768
263 372 13196
315 511 28964
141 1 17988
71 1 21965
361 347 20588
394 342 25808
161 575 16401
784 882 1664
450 566 1816
438 476 23336
92 853 6214
316 836 10135
913 742 29685
16 148 9927
527 786 17666
725 180 20663
771 294 32481
434 792 20379
112 570 5074
586 653 21474
732 82 18094
308 415 3277
186 598 24011
517 45 3717
204 440 9438
151 432 12273
295 218 18923
765 711 14788
8 706 17825
878 846 28017
887 897 14769
260 448 17929
225 319 10962
370 466 31108
185 203 19471
635 689 9655
541 466 9408
437 387 22141
156 212 19111
640 83 30763
884 744 26660
189 548 29473
173 204 301
525 428 20626
329 22 22213
111 486 833
700 676 19250
758 732 6229
743 403 14438
292 569 30869
173 250 5978
705 588 23711
454 632 29258
729 372 14081
215 59 13580
686 84 11578
68 184 22020
269 434 21772
892 368 22364
663 625 23977
274 166 4996
660 739 9372
326 569 31029
754 612 1157
697 88 6751
765 580 32759
413 541 3786
181 363 21788
480 655 30301
78 172 5878
435 130 12350
661 366 12103
562 488 29512
385 875 14474
727 215 10641
203 39 395
194 701 5106
297 808 21620
664 587 7117
584 420 22899
356 496 10375
839 900 12608
462 420 7025
803 357 15916
149 933 4116
348 176 4739
475 499 30749
165 767 12641
384 428 29016
843 794 19285
525 124 6527
11 868 29273
778 823 30410
137 502 30992
514 173 7549
221 408 24398
647 581 23018
379 626 25161
470 284 9123
545 73 4367
693 195 18891
870 413 13838
913 561 29134
836 133 3288
385 531 30944
706 545 10082
17 57 24089
354 668 10352
516 840 24071
874 680 8437
337 583 10759
663 572 31876
865 805 29907
703 182 3368
209 522 15090
899 416 322
649 682 2333
604 717 28223
7 425 23475
357 468 12601
236 128 22988
151 755 17128
433 373 29586
595 282 20080
598 355 7907
218 382 29420
154 232 24176
602 649 9668
